text,nic_code,nic_label,division
we have a embroidery work unit,13991,Embroidery work and making of laces,Manufacturing
makingtea plantation for export,1271,Growing of tea,Agriculture
i run a fashion designer,74101,Fashion design,Professional
digital marketing agency,73100,Advertising,Professional
our business is we make homeopathy medicines unit,21004,Manufacture of homoeopathic pharmaceutical preparations,Manufacturing
i run a soap making,20231,Manufacture of soap all forms,Manufacturing
serviceplastic chair table making,22202,Manufacture of plastic household articles,Manufacturing
we specialize in cobbler shoe repair in india,95230,Repair of footwear and leather goods,Services
manufacturingwe do share trading business,66120,Security and commodity contracts brokerage,Finance
we are manufacturers of bread manufacturing in india,10711,Manufacture of bread,Manufacturing
we deal in motorcycle mechanic,45403,Maintenance of motorcycles and scooters,Trade
the company is engaged in electricity distribution as a home business,35109,Collection and distribution of electric energy,Energy
repairingbeauty parlour salon near me,96020,Hairdressing and other beauty treatment,Services
Growingi do fishing in the sea business,3111,Fishing in ocean and coastal waters,Agriculture
makingwe do interior decoration for local market,43303,Interior painting and decorating,Construction
we specialize in we sell furniture on small scale,47591,Retail sale of household furniture,Trade
tradingtyre manufacturing for export,22111,Manufacture of rubber tyres for motor vehicles,Manufacturing
repairinganda farm,1462,Production of eggs,Agriculture
we do we sell hardware and tools,47522,Retail sale of hardware,Trade
servicei have a cow dairy since many years,1412,Production of milk from cows or buffaloes,Agriculture
sellingtoy making,32401,Manufacture of dolls and toy animals,Manufacturing
i sell ecommerce business as micro enterprise,47912,Retail sale via e-commerce,Trade
i am doing placement agency hr,78100,Activities of employment placement agencies,Services
gravel pit operation near me,8106,Operation of sand or gravel pits,Mining
i own a we make paper carry bags for export,17024,Manufacture of sacks and bags of paper,Manufacturing
Growingwe do tax filing and GST as msme,69202,Tax consultancy,Finance
repairingtoy making,32401,Manufacture of dolls and toy animals,Manufacturing
tradinghair oil shampoo manufacturing as msme,20236,Manufacture of hair oil and shampoo,Manufacturing
servicepottery making at home,23931,Manufacture of articles of porcelain and pottery,Manufacturing
i am working in advertising agency,73100,Advertising,Professional
we deal in rubber product manufacturing as msme,22191,Manufacture of rubber plates and tubes,Manufacturing
road construction for export,42101,Construction of highways and roads,Construction
my small business is cyber cafe unit,63992,Activities of cyber cafe,IT Services
we repair mobile phones for domestic use,95120,Repair of communication equipment,Services
darji ka kaam as a home business,14105,Custom tailoring,Manufacturing
i do highway building contractor on small scale,42101,Construction of highways and roads,Construction
repairingwe mill dal and pulses,10613,Dal (pulses) milling,Manufacturing
i do bhains palan dudh ka kaam in india,1412,Production of milk from cows or buffaloes,Agriculture
i am a buffalo dairy farm as a home business,1412,Production of milk from cows or buffaloes,Agriculture
we deal in metal container manufacturing as micro enterprise,25992,Manufacture of containers tins and cans,Manufacturing
sellingclay pottery business,23931,Manufacture of articles of porcelain and pottery,Manufacturing
tradingwe run an ayurvedic centre,86901,Activities of Ayurveda practitioners,Healthcare
we do we run a call center business,82200,Activities of call centres,IT Services
sellingwe are a cable operator as msme,61103,Activities of cable operators,IT Services
i run a paper bag making,17024,Manufacture of sacks and bags of paper,Manufacturing
servicei make agarbatti business,20238,Manufacture of agarbatti,Manufacturing
my small business is mango farming in konkan for export,1221,Growing of mangoes,Agriculture
we sell gold and silver jewellery near me,47733,Retail sale of jewellery,Trade
repairingfurniture making wood,31001,Manufacture of furniture of wood,Manufacturing
we provide motorcycle mechanic business,45403,Maintenance of motorcycles and scooters,Trade
i do cotton fabric weaving unit unit,13121,Weaving of cotton fabrics,Manufacturing
tradingbolt nut manufacturing business,25991,Manufacture of metal fasteners,Manufacturing
we do vakil ka kaam at home,69100,Legal activities,Professional
we are into potato and sweet potato farming for export,1135,Growing of potatoes and tubers,Agriculture
we are into embroidery work,13991,Embroidery work and making of laces,Manufacturing
we specialize in label printing business in india,18119,Printing activities,Manufacturing
i do we make batteries as a home business,27201,Manufacture of primary cells and batteries,Manufacturing
tradinglpg gas agency in india,35202,Distribution and sale of gaseous fuels,Energy
we provide machli palan,3221,Fish farming in freshwater,Agriculture
tradingseviyan manufacturing,10740,Manufacture of macaroni and noodles,Manufacturing
makinghomeopathic medicine for local market,21004,Manufacture of homoeopathic pharmaceutical preparations,Manufacturing
i am doing ganna cultivation for local market,1140,Growing of sugar cane,Agriculture
we deal in we deliver parcels,53200,Courier activities,Transport
we sell insurance policies as micro enterprise,66220,Activities of insurance agents and brokers,Finance
my work involves gas agency cylinder for domestic use,35202,Distribution and sale of gaseous fuels,Energy
serviceit consulting for local market,62020,Computer consultancy,IT Services
business activity: mango orchard near me,1221,Growing of mangoes,Agriculture
we are into we make candles and wax products in india,20238,Manufacture of agarbatti and similar products,Manufacturing
i run a cream lotion making near me,20237,Manufacture of cosmetics and toileteries,Manufacturing
garment factory in india,14101,Manufacture of textile garments,Manufacturing
repairinglpg gas agency as micro enterprise,35202,Distribution and sale of gaseous fuels,Energy
i make ghee,10504,Manufacture of cream butter cheese ghee,Manufacturing
i do tv and electronics repair for domestic use,95210,Repair of consumer electronics,Services
i run a plastic household items manufacturing business,22202,Manufacture of plastic household articles,Manufacturing
sellingwe run a petrol station unit,47300,Retail sale of automotive fuel,Trade
servicelodge and hotel business as micro enterprise,55101,Hotels and motels providing lodging,Hospitality
i am doing we do photography for local market,74201,Commercial photograph production,Professional
sugarcane farming in india,1140,Growing of sugar cane,Agriculture
sellingwe do share trading as msme,66120,Security and commodity contracts brokerage,Finance
i am a basmati rice farming,1121,Organic farming of basmati rice,Agriculture
makingcarpenter furniture shop in india,31001,Manufacture of furniture of wood,Manufacturing
i am a we make noodles in my village,10740,Manufacture of macaroni and noodles,Manufacturing
agarbatti incense sticks making at home,20238,Manufacture of agarbatti,Manufacturing
tradingit consulting since many years,62020,Computer consultancy,IT Services
we are into advocate lawyer at home,69100,Legal activities,Professional
our business is home tiffin service in india,56291,Activities of food service contractors,Hospitality
i sell we make handmade carpets,13931,Manufacture of carpets of cotton,Manufacturing
makingapiary and honey selling near me,1492,Bee-keeping and production of honey,Agriculture
makingwe run a coaching class,85491,Academic tutoring services,Education
makingwe grow tea as msme,1271,Growing of tea,Agriculture
road and bridge construction for local market,42101,Construction of highways and roads,Construction
furniture shop,47591,Retail sale of household furniture,Trade
business activity: we have a flour grinding unit,10611,Flour milling,Manufacturing
tradingi make gud from sugarcane business,10722,Manufacture of gur from sugarcane,Manufacturing
iron and steel plant unit,24101,Manufacture of pig iron,Manufacturing
i am working in honey production business near me,1492,Bee-keeping and production of honey,Agriculture
tradingphone repair shop in my village,95120,Repair of communication equipment,Services
my work involves onion farming in nashik in my village,1133,Growing of onion,Agriculture
we deal in farming wheat and selling for export,1111,Growing of wheat,Agriculture
my small business is agarbatti banane ka kaam as msme,20238,Manufacture of agarbatti,Manufacturing
manufacturingwe mine coal opencast for export,5101,Opencast mining of hard coal,Mining
tradingrubber tyre production in india,22111,Manufacture of rubber tyres for motor vehicles,Manufacturing
we specialize in plumber as micro enterprise,43221,Installation of plumbing,Construction
we deal in solar energy plant as msme,35105,Electric power generation using solar energy,Energy
we specialize in animal feed production at home,10801,Manufacture of cattle feed,Manufacturing
servicebanana plantation for export,1222,Growing of bananas,Agriculture
i am a metal container manufacturing,25992,Manufacture of containers tins and cans,Manufacturing
providingkitab ki dukan as a home business,47613,Retail sale of stationery,Trade
Growingwe make led lights and bulbs on small scale,27400,Manufacture of electric lighting equipment,Manufacturing
we do we do zari and gota work as micro enterprise,13992,Zari work and ornamental trimmings,Manufacturing
we are manufacturers of cycle repair shop for export,95291,Repair of bicycles,Services
i am a we manufacture locks since many years,25934,Manufacture of padlocks and locks,Manufacturing
we specialize in highway building contractor,42101,Construction of highways and roads,Construction
providingcoal mining,5101,Opencast mining of hard coal,Mining
we specialize in we have mango trees and sell fruit since many years,1221,Growing of mangoes,Agriculture
my small business is dhaba food stall,56101,Restaurants,Hospitality
servicebpo services,82200,Activities of call centres,IT Services
i own a hardware store since many years,47522,Retail sale of hardware,Trade
we do interior decoration as micro enterprise,43303,Interior painting and decorating,Construction
manufacturinglock and key making,25934,Manufacture of padlocks and locks,Manufacturing
we do vakil ka kaam,69100,Legal activities,Professional
we specialize in we make allopathic medicines for domestic use,21002,Manufacture of allopathic pharmaceutical preparations,Manufacturing
the company is engaged in we make ice cream kulfi business,10505,Manufacture of ice cream,Manufacturing
garment factory as a home business,14101,Manufacture of textile garments,Manufacturing
makingpackaged drinking water business for domestic use,11043,Manufacture of mineral water,Manufacturing
aloo cultivation since many years,1135,Growing of potatoes and tubers,Agriculture
the company is engaged in electrical installation work near me,43211,Installation of electrical wiring,Construction
organic fertilizer making on small scale,20121,Manufacture of urea and organic fertilizers,Manufacturing
liquid detergent making for domestic use,20233,Manufacture of detergent,Manufacturing
i make soap at home in india,20231,Manufacture of soap all forms,Manufacturing
our business is carpet weaving unit,13931,Manufacture of carpets of cotton,Manufacturing
we deal in phone repair shop as a home business,95120,Repair of communication equipment,Services
makinghomeopathy clinic near me,86903,Activities of homeopaths,Healthcare
we do brassware manufacturing business,25994,Manufacture of metal household articles,Manufacturing
we specialize in we make fruit juice for domestic use,10304,Manufacture of fruit juices,Manufacturing
cutlery manufacturing at home,25931,Manufacture of cutlery,Manufacturing
blood test lab on small scale,86905,Activities of diagnostic laboratories,Healthcare
servicesecurity guard agency as msme,80100,Private security activities,Services
we have a we raise goats and sheep for domestic use,1441,Raising and breeding of sheep and goats,Agriculture
serviceelectronic component making for export,26101,Manufacture of electronic components,Manufacturing
servicewe make candles and wax products in india,20238,Manufacture of agarbatti and similar products,Manufacturing
cattle dairy business business,1412,Production of milk from cows or buffaloes,Agriculture
my work involves i am a tailor,14105,Custom tailoring,Manufacturing
business activity: wooden furniture unit for export,31001,Manufacture of furniture of wood,Manufacturing
sellingwe assemble mobile phones as micro enterprise,26305,Manufacture of pagers cellular phones,Manufacturing
we specialize in i make gud from sugarcane since many years,10722,Manufacture of gur from sugarcane,Manufacturing
Growingcar spare parts making,29301,Manufacture of motor vehicle parts,Manufacturing
makingwe repair mobile phones,95120,Repair of communication equipment,Services
i run a car spare parts making in my village,29301,Manufacture of motor vehicle parts,Manufacturing
providingdawai ki dukan in india,47721,Retail sale of pharmaceuticals,Trade
we provide agarbatti production unit unit,20238,Manufacture of agarbatti,Manufacturing
providingwe sell mobile phones as micro enterprise,47414,Retail sale of telecommunication equipment,Trade
we deal in juice shop for local market,56303,Fruit juice bars,Hospitality
we are into gravel pit operation for export,8106,Operation of sand or gravel pits,Mining
my small business is we do share trading as msme,66120,Security and commodity contracts brokerage,Finance
i sell kitab ki dukan,47613,Retail sale of stationery,Trade
i own a diagnostic lab pathology near me,86905,Activities of diagnostic laboratories,Healthcare
i am a security services company as a home business,80100,Private security activities,Services
i am doing computer consultancy for domestic use,62020,Computer consultancy,IT Services
i sell foto studio unit,74201,Commercial photograph production,Professional
we provide we have mango trees and sell fruit in my village,1221,Growing of mangoes,Agriculture
we do event catering as micro enterprise,56210,Event catering,Hospitality
tradingperfume making,20234,Manufacture of perfumes,Manufacturing
coaching class tuition,85491,Academic tutoring services,Education
my small business is web design for local market,62012,Web page designing,IT Services
our unit is involved in gold jewellery making as msme,32111,Manufacture of jewellery of gold silver,Manufacturing
our unit is involved in interior design work at home,43303,Interior painting and decorating,Construction
we provide we run taxis since many years,49224,Taxi operation,Transport
makingwe sell clothes at home,47711,Retail sale of readymade garments,Trade
we are manufacturers of paint manufacturing for local market,20221,Manufacture of paints and varnishes,Manufacturing
makingadvocate lawyer unit,69100,Legal activities,Professional
serviceit services company on small scale,62020,Computer consultancy,IT Services
makingwe do photography business,74201,Commercial photograph production,Professional
we specialize in halwai making sweets,10734,Manufacture of sweetmeats,Manufacturing
my small business is carpet making unit,13931,Manufacture of carpets of cotton,Manufacturing
i own a jute farming,1162,Growing of jute,Agriculture
we have a medical device manufacturing near me,32504,Manufacture of medical instruments,Manufacturing
manufacturingi make clothes and garments as micro enterprise,14101,Manufacture of textile garments,Manufacturing
we do i am an onion farmer as micro enterprise,1133,Growing of onion,Agriculture
i am working in car servicing workshop in my village,45200,Maintenance and repair of motor vehicles,Trade
mirchi ki kheti on small scale,1282,Growing of chili,Agriculture
we provide interior design work on small scale,43303,Interior painting and decorating,Construction
Growingmotor driving institute as a home business,85223,Professional motor driving school,Education
Growingsolar rooftop installation at home,35105,Electric power generation using solar energy,Energy
we have a rice milling unit as micro enterprise,10612,Rice milling,Manufacturing
we have a knitting hosiery unit as a home business,13913,Manufacture of knitted synthetic fabrics,Manufacturing
i run a custom software development on small scale,62011,Writing and modifying computer programs,IT Services
i own a photocopying shop near me,82191,Photocopying and duplicating services,Services
Growingrabi crop wheat production on small scale,1111,Growing of wheat,Agriculture
providingplacement agency hr at home,78100,Activities of employment placement agencies,Services
manufacturingleather goods manufacturing on small scale,15121,Manufacture of travel goods and bags,Manufacturing
the company is engaged in solar power business,35105,Electric power generation using solar energy,Energy
my work involves cotton yarn spinning as micro enterprise,13111,Preparation and spinning of cotton fiber,Manufacturing
we do smartphone manufacturing unit as micro enterprise,26305,Manufacture of pagers cellular phones,Manufacturing
i am doing income tax consultant as a home business,69202,Tax consultancy,Finance
i do sugarcane farming as msme,1140,Growing of sugar cane,Agriculture
repairingjuice manufacturing unit,10304,Manufacture of fruit juices,Manufacturing
we provide bartan banane ka kaam as micro enterprise,25994,Manufacture of metal household articles,Manufacturing
we are into we grow green vegetables,1131,Growing of vegetables,Agriculture
sellingbook stationery shop in india,47613,Retail sale of stationery,Trade
the company is engaged in brassware manufacturing,25994,Manufacture of metal household articles,Manufacturing
we specialize in bakery products for local market,10712,Manufacture of biscuits and cakes,Manufacturing
we make indian sweets as msme,10734,Manufacture of sweetmeats,Manufacturing
providingwe make ice cream kulfi as micro enterprise,10505,Manufacture of ice cream,Manufacturing
i am a we do advertising and marketing in india,73100,Advertising,Professional
our unit is involved in knitting hosiery unit as micro enterprise,13913,Manufacture of knitted synthetic fabrics,Manufacturing
makingpackaged drinking water business,11043,Manufacture of mineral water,Manufacturing
machine repair workshop for local market,33121,Repair of engines and turbines,Manufacturing
i do fishing in the sea,3111,Fishing in ocean and coastal waters,Agriculture
providinghosiery manufacturing as micro enterprise,13913,Manufacture of knitted synthetic fabrics,Manufacturing
we are into we provide tiffin to offices in my village,56291,Activities of food service contractors,Hospitality
i am a vegetable fruit shop business,47212,Retail sale of fresh fruit and vegetables,Trade
providingfashion designer since many years,74101,Fashion design,Professional
we bake and sell bread business,10711,Manufacture of bread,Manufacturing
my small business is we make children toys,32401,Manufacture of dolls and toy animals,Manufacturing
moneylending business,64920,Other credit granting,Finance
imitation artificial jewellery,32120,Manufacture of imitation jewellery,Manufacturing
sellingchawal chakki,10612,Rice milling,Manufacturing
tradingweb development agency,62012,Web page designing,IT Services
i do we repair cars and vehicles,45200,Maintenance and repair of motor vehicles,Trade
my work involves printing press as msme,18112,Printing of books and magazines,Manufacturing
my work involves we do electrical wiring,43211,Installation of electrical wiring,Construction
tradingwe make led lights and bulbs for export,27400,Manufacture of electric lighting equipment,Manufacturing
providingnoodles and pasta manufacturing at home,10740,Manufacture of macaroni and noodles,Manufacturing
we specialize in alphonso mango farming in my village,1221,Growing of mangoes,Agriculture
we have a zardozi embroidery,13991,Embroidery work and making of laces,Manufacturing
i am doing graphic design in india,74103,Services of graphic designers,Professional
i am working in we mine coal opencast as micro enterprise,5101,Opencast mining of hard coal,Mining
i grow cotton for local market,1161,Growing of cotton,Agriculture
makingsurgical instrument making as micro enterprise,32504,Manufacture of bone plates and syringes,Manufacturing
i am working in computer consultancy in india,62020,Computer consultancy,IT Services
providingfurniture making wood for local market,31001,Manufacture of furniture of wood,Manufacturing
i own a provision store business,47190,Other retail sale in non-specialized stores,Trade
i own a i make papad as msme,10796,Manufacture of papads and appalam,Manufacturing
tradingjute bag making near me,13942,Manufacture of cordage or rope of jute,Manufacturing
we have a liquid detergent making business,20233,Manufacture of detergent,Manufacturing
repairingauto rickshaw near me,49224,Taxi operation,Transport
the company is engaged in beauty parlour salon as a home business,96020,Hairdressing and other beauty treatment,Services
we are into cutlery manufacturing business,25931,Manufacture of cutlery,Manufacturing
repairingsone chandi ka gehna banane ka kaam,32111,Manufacture of jewellery of gold silver,Manufacturing
sellingwe make bread and biscuits as a home business,10712,Manufacture of biscuits and cakes,Manufacturing
makingconstruction contractor,41001,Construction of buildings,Construction
i am doing ayurvedic product manufacturing near me,21003,Manufacture of ayurvedic pharmaceutical preparations,Manufacturing
providingwe do fish farming in our pond,3221,Fish farming in freshwater,Agriculture
business activity: cream lotion making,20237,Manufacture of cosmetics and toileteries,Manufacturing
i am working in artificial jewellery manufacturing since many years,32120,Manufacture of imitation jewellery,Manufacturing
ladies beauty parlour as micro enterprise,96020,Hairdressing and other beauty treatment,Services
i own a mochi ka kaam in india,95230,Repair of footwear and leather goods,Services
serviceweb design business,62012,Web page designing,IT Services
we provide insurance broker in my village,66220,Activities of insurance agents and brokers,Finance
our unit is involved in mitti ke bartan banane ka kaam,23931,Manufacture of articles of porcelain and pottery,Manufacturing
coaching institute as micro enterprise,85491,Academic tutoring services,Education
sellingwe are wheat farmers at home,1111,Growing of wheat,Agriculture
the company is engaged in call centre bpo on small scale,82200,Activities of call centres,IT Services
my small business is graphic design as micro enterprise,74103,Services of graphic designers,Professional
serviceflour mill for export,10611,Flour milling,Manufacturing
my work involves hair oil shampoo manufacturing since many years,20236,Manufacture of hair oil and shampoo,Manufacturing
makingincome tax consultant business,69202,Tax consultancy,Finance
we are manufacturers of we provide tiffin to offices as micro enterprise,56291,Activities of food service contractors,Hospitality
we repair mobile phones since many years,95120,Repair of communication equipment,Services
i sell sabun banane ka kaam unit,20231,Manufacture of soap all forms,Manufacturing
tradingwarehouse storage facility unit,52102,Warehousing non-refrigerated,Transport
we are manufacturers of animal feed production business,10801,Manufacture of cattle feed,Manufacturing
we specialize in tailoring unit,14105,Custom tailoring,Manufacturing
makingegg production farm business,1462,Production of eggs,Agriculture
i am a grocery shop,47211,Retail sale of cereals and pulses,Trade
we specialize in ladies tailor in india,14105,Custom tailoring,Manufacturing
Growingiron and steel plant,24101,Manufacture of pig iron,Manufacturing
repairingjute products manufacturing,13942,Manufacture of cordage or rope of jute,Manufacturing
repairingrice mill,10612,Rice milling,Manufacturing
tradingwe run a petrol station for domestic use,47300,Retail sale of automotive fuel,Trade
sellingwedding photography,74201,Commercial photograph production,Professional
i do tuition centre at home,85491,Academic tutoring services,Education
tradingdal mill,10613,Dal (pulses) milling,Manufacturing
onion farming in nashik for export,1133,Growing of onion,Agriculture
serviceelectronics retail shop in india,47420,Retail sale of audio and video equipment,Trade
repairingwe run a school unit,85211,General school education first stage,Education
sellinggur production on small scale,10722,Manufacture of gur from sugarcane,Manufacturing
internet service provider,61104,Activities providing internet access,IT Services
i am doing imitation artificial jewellery business,32120,Manufacture of imitation jewellery,Manufacturing
we specialize in event management,82300,Organization of conventions and trade shows,Services
repairingwe manufacture wood furniture in india,31001,Manufacture of furniture of wood,Manufacturing
our business is we make handmade carpets as micro enterprise,13931,Manufacture of carpets of cotton,Manufacturing
manufacturingwe provide architectural services as msme,71100,Architectural and engineering activities,Professional
photocopying shop for export,82191,Photocopying and duplicating services,Services
tradingquick service food outlet in india,56102,Cafeterias and fast food restaurants,Hospitality
makingdiagnostic lab pathology,86905,Activities of diagnostic laboratories,Healthcare
sellingfreshwater aquaculture in my village,3221,Fish farming in freshwater,Agriculture
i sell jewellery shop as a home business,47733,Retail sale of jewellery,Trade
our business is spice farming,1284,Growing of spices,Agriculture
Growingwashing powder manufacturing near me,20233,Manufacture of detergent,Manufacturing
i am doing motor driving institute for local market,85223,Professional motor driving school,Education
we are manufacturers of dawai ki dukan at home,47721,Retail sale of pharmaceuticals,Trade
i am a bike repair shop in india,45403,Maintenance of motorcycles and scooters,Trade
repairingi have a cow dairy as micro enterprise,1412,Production of milk from cows or buffaloes,Agriculture
i am working in incense stick manufacturing unit,20238,Manufacture of agarbatti,Manufacturing
manufacturingtea processing in india,10791,Processing and blending of tea,Manufacturing
i am working in wooden toy making,32401,Manufacture of dolls and toy animals,Manufacturing
we provide beauty products manufacturing,20237,Manufacture of cosmetics and toileteries,Manufacturing
we do we sell books and stationery business,47613,Retail sale of stationery,Trade
tradingwe assemble mobile phones on small scale,26305,Manufacture of pagers cellular phones,Manufacturing
repairingchappals and sandals making on small scale,15201,Manufacture of leather footwear,Manufacturing
makinghotel restaurant as msme,55101,Hotels and motels providing lodging,Hospitality
my work involves carpet weaving unit,13931,Manufacture of carpets of cotton,Manufacturing
knitting hosiery unit as a home business,13913,Manufacture of knitted synthetic fabrics,Manufacturing
providingvermicelli making unit as a home business,10740,Manufacture of macaroni and noodles,Manufacturing
we do mombatti banane ka kaam for export,20238,Manufacture of agarbatti and similar products,Manufacturing
i am doing leafy vegetable cultivation as micro enterprise,1131,Growing of vegetables,Agriculture
makingcutlery manufacturing,25931,Manufacture of cutlery,Manufacturing
repairingcopper wire making at home,24201,Manufacture of copper products,Manufacturing
artificial jewellery manufacturing on small scale,32120,Manufacture of imitation jewellery,Manufacturing
i am doing mango farming in konkan in india,1221,Growing of mangoes,Agriculture
i own a chappals and sandals making for local market,15201,Manufacture of leather footwear,Manufacturing
makingwe repair cars and vehicles for export,45200,Maintenance and repair of motor vehicles,Trade
my work involves non basmati paddy farming,1122,Organic farming of non-basmati rice,Agriculture
servicewe teach dance and music at home,85420,Cultural education,Education
we specialize in coal mining at home,5101,Opencast mining of hard coal,Mining
i am working in pest control services near me,81299,Other building and industrial cleaning,Services
sellingwe build houses and flats unit,41001,Construction of buildings,Construction
we have a we repair cycles for local market,95291,Repair of bicycles,Services
sellingkapas farming in india,1161,Growing of cotton,Agriculture
providingagarbatti banane ka kaam,20238,Manufacture of agarbatti,Manufacturing
our unit is involved in canteen mess as a home business,56292,Operation of canteens,Hospitality
we have a i grow wheat on my farm on small scale,1111,Growing of wheat,Agriculture
i own a mithai banane ka kaam business,10734,Manufacture of sweetmeats,Manufacturing
i do banana farming near me,1222,Growing of bananas,Agriculture
Growingtin box can making,25992,Manufacture of containers tins and cans,Manufacturing
placement agency hr,78100,Activities of employment placement agencies,Services
i own a we run a tea shop,56302,Tea and coffee shops,Hospitality
servicelabel printing business business,18119,Printing activities,Manufacturing
interior painting work for local market,43303,Interior and exterior painting,Construction
business activity: ice cream production unit for domestic use,10505,Manufacture of ice cream,Manufacturing
my work involves we are a medical clinic near me,86201,Medical practice activities,Healthcare
providingsugarcane crop production,1140,Growing of sugar cane,Agriculture
i am a we develop software in india,62011,Writing and modifying computer programs,IT Services
flour mill,10611,Flour milling,Manufacturing
we are into phone repair shop on small scale,95120,Repair of communication equipment,Services
tradingwe make jam jelly and sauce,10305,Manufacture of sauces jams and jellies,Manufacturing
home tiffin service on small scale,56291,Activities of food service contractors,Hospitality
i do plastic product manufacturing since many years,22201,Manufacture of semi-finished plastic products,Manufacturing
tradingpackaged drinking water business,11043,Manufacture of mineral water,Manufacturing
providingwe sell hardware and tools at home,47522,Retail sale of hardware,Trade
servicetruck transport business,49231,Motorised road freight transport,Transport
carpet making unit,13931,Manufacture of carpets of cotton,Manufacturing
we are into cycle repair shop,95291,Repair of bicycles,Services
we have a parcel delivery business business,53200,Courier activities,Transport
i own a vehicle repair garage since many years,45200,Maintenance and repair of motor vehicles,Trade
our unit is involved in kiryana shop for domestic use,47211,Retail sale of cereals and pulses,Trade
Growingzameen jaidaad ka kaam on small scale,68200,Real estate activities on fee basis,Real Estate
i run a wheat flour milling in india,10611,Flour milling,Manufacturing
soap manufacturing unit on small scale,20231,Manufacture of soap all forms,Manufacturing
i am a we develop software as a home business,62011,Writing and modifying computer programs,IT Services
tradingphenyl disinfectant making as msme,20212,Manufacture of disinfectants,Manufacturing
we are manufacturers of electricity distribution for local market,35109,Collection and distribution of electric energy,Energy
i run a we manufacture soaps unit,20231,Manufacture of soap all forms,Manufacturing
our unit is involved in we make cricket bats and sports equipment,32300,Manufacture of sports goods,Manufacturing
i am working in gents tailor shop at home,14105,Custom tailoring,Manufacturing
my work involves we make paints and varnish for local market,20221,Manufacture of paints and varnishes,Manufacturing
business activity: paper box and packaging at home,17023,Manufacture of card board boxes,Manufacturing
we specialize in i make bread,10711,Manufacture of bread,Manufacturing
my small business is aerated drinks manufacturing in india,11041,Manufacture of aerated drinks,Manufacturing
repairingbread manufacturing as a home business,10711,Manufacture of bread,Manufacturing
makingfuel station in india,47300,Retail sale of automotive fuel,Trade
i am doing rice processing plant,10612,Rice milling,Manufacturing
repairingwe make indian sweets for local market,10734,Manufacture of sweetmeats,Manufacturing
i am doing dal mill,10613,Dal (pulses) milling,Manufacturing
tradingsone chandi ka gehna banane ka kaam as micro enterprise,32111,Manufacture of jewellery of gold silver,Manufacturing
providingsea fishing for domestic use,3111,Fishing in ocean and coastal waters,Agriculture
we deal in sugarcane farming,1140,Growing of sugar cane,Agriculture
we specialize in mineral water plant as msme,11043,Manufacture of mineral water,Manufacturing
we specialize in hospital clinic,86100,Hospital activities,Healthcare
i am working in ladies beauty parlour unit,96020,Hairdressing and other beauty treatment,Services
our business is we are a medical clinic,86201,Medical practice activities,Healthcare
tradingwe manufacture locks as a home business,25934,Manufacture of padlocks and locks,Manufacturing
servicepepper and cardamom farming as micro enterprise,1284,Growing of spices,Agriculture
we have a detergent powder production,20233,Manufacture of detergent,Manufacturing
i am a chili farming at home,1282,Growing of chili,Agriculture
providingwe run a dental clinic on small scale,86202,Dental practice activities,Healthcare
manufacturingcucumber and brinjal cultivation business,1132,Growing of fruit-bearing vegetables,Agriculture
Growingi run a rice mill unit,10612,Rice milling,Manufacturing
i am a we make allopathic medicines,21002,Manufacture of allopathic pharmaceutical preparations,Manufacturing
repairingbus transport service unit,49221,Long distance bus services,Transport
we make ice cream kulfi,10505,Manufacture of ice cream,Manufacturing
we provide we run a driving school on small scale,85223,Professional motor driving school,Education
we have a apiary and honey selling near me,1492,Bee-keeping and production of honey,Agriculture
we make fashion jewellery unit,32120,Manufacture of imitation jewellery,Manufacturing
i am working in plumber business,43221,Installation of plumbing,Construction
repairingwe weave cotton fabric since many years,13121,Weaving of cotton fabrics,Manufacturing
we run a pathology lab,86905,Activities of diagnostic laboratories,Healthcare
knitting hosiery unit for domestic use,13913,Manufacture of knitted synthetic fabrics,Manufacturing
servicewire fencing making since many years,25993,Manufacture of metal cable and wire,Manufacturing
repairinghighway building contractor,42101,Construction of highways and roads,Construction
we specialize in fast food centre at home,56102,Cafeterias and fast food restaurants,Hospitality
we are manufacturers of milk powder making near me,10502,Manufacture of milk powder,Manufacturing
repairingbook printing business for domestic use,18112,Printing of books and magazines,Manufacturing
sports goods manufacturing,32300,Manufacture of sports goods,Manufacturing
phenyl disinfectant making unit,20212,Manufacture of disinfectants,Manufacturing
we are into we do fish farming in our pond,3221,Fish farming in freshwater,Agriculture
the company is engaged in we make fashion jewellery,32120,Manufacture of imitation jewellery,Manufacturing
we are manufacturers of buffalo dairy farm as micro enterprise,1412,Production of milk from cows or buffaloes,Agriculture
we specialize in tea processing as a home business,10791,Processing and blending of tea,Manufacturing
our business is we mine coal opencast as micro enterprise,5101,Opencast mining of hard coal,Mining
we deal in phenyl disinfectant making in india,20212,Manufacture of disinfectants,Manufacturing
our business is road and bridge construction,42101,Construction of highways and roads,Construction
i am doing tablet and capsule manufacturing near me,21002,Manufacture of allopathic pharmaceutical preparations,Manufacturing
i am working in hotel restaurant as micro enterprise,55101,Hotels and motels providing lodging,Hospitality
we have a car spare parts making since many years,29301,Manufacture of motor vehicle parts,Manufacturing
we are manufacturers of seviyan manufacturing business,10740,Manufacture of macaroni and noodles,Manufacturing
i am a we do interior decoration,43303,Interior painting and decorating,Construction
makinghome tiffin service,56291,Activities of food service contractors,Hospitality
